players,player_names,players_pretty,total_salary,total_exp_fp,P_name,P_id,C_name,C_id,1B_name,1B_id,2B_name,2B_id,3B_name,3B_id,SS_name,SS_id,OF1_name,OF1_id,OF2_name,OF2_id,OF3_name,OF3_id,UTIL_name,UTIL_id
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
39961787 39962080 39961811 39961827 39961842 39961837 39961890 39961825 39961872 39961840,Garrett Crochet | Miguel Amaya | Nick Kurtz | Luke Keaschall | Eugenio Suarez | Geraldo Perdomo | Ian Happ | Jurickson Profar | Austin Hays | Zach Neto,Garrett Crochet(39961787) | Miguel Amaya(39962080) | Nick Kurtz(39961811) | Luke Keaschall(39961827) | Eugenio Suarez(39961842) | Geraldo Perdomo(39961837) | Ian Happ(39961890) | Jurickson Profar(39961825) | Austin Hays(39961872) | Zach Neto(39961840),50000,104.5,Garrett Crochet,39961787,Miguel Amaya,39962080,Nick Kurtz,39961811,Luke Keaschall,39961827,Eugenio Suarez,39961842,Geraldo Perdomo,39961837,Ian Happ,39961890,Jurickson Profar,39961825,Austin Hays,39961872,Zach Neto,39961840
